"brand","sales_year","countryfull","avg_discount_per_unit","avg_discount_percent","total_discount_amount","total_actual_revenue","total_base_revenue"
"Fabrikam","2017","Netherlands","44.80","6.80",1621.627696078427,24014.226750909576,25635.854446988003
"Contoso ","2017","Italy","37.94","6.64",1912.3289471868957,23031.038348873102,24943.367296059998
"Litware","2017","Germany","9.90","5.69",833.3543603078033,22246.16236390519,23079.516724212994
"Fabrikam  ","2017","Italy","76.06","6.00",1542.1783675799998,20634.11807442,22176.296442
"Southridge Video","2017","Italy","5.67","5.57",1169.0134909516964,20522.283702518296,21691.297193469993
"Fabrikam  ","2017","Netherlands","38.99","6.00",799.0802919000016,19531.8108861,20330.891178
"A. Datum","2017","Canada","23.07","7.88",1237.3260882870018,19067.243913612998,20304.5700019
"Proseware","2017","France","81.31","6.62",1456.9089502454917,19012.782231329504,20469.691181574995
"Contoso ","2017","France","57.47","7.29",1637.8040107894994,18906.9395711605,20544.74358195
"Fabrikam  ","2017","France","31.33","2.20",1394.95752,18599.510108,19994.467628
"Litware","2017","Australia","8.10","6.00",729.5736796688252,18321.98899630518,19051.562675974004
"Litware","2017","Italy","9.91","4.16",711.395254963827,17979.744118508166,18691.139373471993
"Contoso ","2017","Netherlands","15.75","3.50",705.6627930899995,17754.22321569,18459.88600878
"Fabrikam","2017","France","42.19","5.83",1328.3300612300009,17591.327902139998,18919.65796337
"A. Datum","2017","Australia","17.06","5.50",1038.945023858003,17124.128004742,18163.073028600003
"A. Datum","2017","Italy","27.14","7.00",1456.2990614099963,15352.48370309,16808.782764499996
"Litware","2017","Netherlands","22.40","5.15",628.0070734648816,14414.748226571117,15042.755300035999
"Northwind Traders","2017","Germany","7.11","6.38",927.3400997734007,14012.4051229426,14939.745222716001
"Litware ","2017","Canada","0.00","0.00",0,11498.2175052,11498.2175052
"Litware ","2017","United Kingdom","23.03","4.38",506.74274243999935,10853.949289560001,11360.692032
"Northwind Traders","2017","United Kingdom","3.74","6.56",674.3066871502415,9547.30626852276,10221.612955673001
"Southridge Video","2017","Netherlands","4.62","4.76",311.99717320349737,8874.397373866503,9186.39454707
"Tailspin Toys","2017","Canada","2.25","7.19",648.4066142302036,8117.351511273797,8765.758125504
"Tailspin Toys","2017","United Kingdom","2.69","5.88",455.0782685477998,7720.297899742199,8175.3761682899985
"A. Datum","2017","Netherlands","23.70","6.88",339.80934006499865,7554.541373435,7894.350713499999
"Northwind Traders","2017","Australia","3.34","4.93",437.3181036356391,6776.180059046363,7213.498162682002
"Northwind Traders","2017","Netherlands","19.06","6.08",624.1919639892603,6136.041666964739,6760.233630954
"Northwind Traders","2017","Italy","6.03","6.60",442.5876077139992,5661.217948106,6103.805555819999
"A. Datum","2017","France","21.35","8.29",575.2931404699993,4805.36733953,5380.66048
"Southridge Video","2017","France","6.63","7.00",367.9213075857988,4682.718155084201,5050.639462669999
"Tailspin Toys","2017","Germany","1.34","5.48",236.37209380300055,3969.3441140910004,4205.716207894001
"Tailspin Toys","2017","Australia","1.92","5.29",169.17431250890013,3932.8244020011,4101.99871451
"Litware ","2017","Germany","23.89","4.33",401.24637071999996,3414.89219328,3816.138564
"Litware","2017","France","17.30","9.29",270.5404786335398,2677.72164223146,2948.262120865
"Litware ","2017","Netherlands","38.06","7.50",178.8427087199998,2116.90695528,2295.749664
"Litware ","2017","Australia","0.00","0.00",0,2106.387693,2106.387693
"Tailspin Toys","2017","Italy","1.57","5.31",113.47384400687974,2009.3748786171202,2122.848722624
"Northwind Traders","2017","France","33.28","6.00",171.55025020769972,1868.3169031353002,2039.867153343
"Adventure Works ","2017","United States","10.58","7.25",59.15652,1759.73648,1818.893
"Adventure Works ","2017","France","0.00","0.00",0,970.1560486399999,970.1560486399999
"Tailspin Toys","2017","France","2.89","9.85",84.83178506009995,930.5683918199001,1015.40017688
"Tailspin Toys","2017","Netherlands","1.96","6.07",55.51565646850008,819.2850657815,874.80072225
"Litware ","2017","Italy","61.04","14.00",103.60941771600005,636.4578516839999,740.0672694
"Adventure Works ","2017","United Kingdom","18.36","12.00",70.42757095800005,516.4688536919999,586.89642465
"Adventure Works ","2017","Canada","18.36","12.00",70.06865407200007,513.836796528,583.9054506000001
"Adventure Works ","2017","Italy","0.00","0.00",0,365.27723184,365.27723184
"Adventure Works","2018","United States","56.21","5.96",203902.8207120034,3195732.507887995,3399635.3285999983
"Wide World Importers","2018","United States","32.41","6.00",176315.45860199397,2816312.709197995,2992628.1677999888
"The Phone Company","2018","United States","27.12","5.86",101754.47999999998,1629701.520000003,1731456.000000003
"Contoso","2018","United States","10.44","5.96",82544.73415000178,1431727.7822499983,1514272.5164
"Fabrikam","2018","United States","42.78","5.89",57055.39177400118,993747.760226,1050803.1520000012
"Proseware","2018","United States","38.31","5.94",67962.40019800083,983305.1544019986,1051267.5545999995
"Adventure Works","2018","Canada","55.42","5.91",43964.66995099513,714792.1532077991,758756.8231587942
"Wide World Importers","2018","Canada","31.17","6.08",40627.5417246141,684793.676806518,725421.2185311321
"Adventure Works","2018","United Kingdom","54.19","6.10",36414.4157946636,588160.5844404844,624575.000235148
"Wide World Importers","2018","United Kingdom","35.73","6.23",29468.13819660741,523253.9706212965,552722.1088179039
"Contoso ","2018","United States","35.19","6.17",31850.268538000062,508936.4842619995,540786.7527999996
"The Phone Company","2018","Canada","28.96","6.30",26431.43433584011,426437.30432015995,452868.73865600006
"Wide World Importers","2018","Germany","30.04","5.94",23520.67861980584,423019.444950024,446540.12356982986
"Adventure Works","2018","Germany","47.36","5.51",23402.588343701325,405484.14432595094,428886.73266965227
"Wide World Importers","2018","Australia","34.58","6.72",25464.30991227948,388166.86027676496,413631.17018904444
"Adventure Works","2018","Australia","62.34","6.80",30081.530612566858,380492.1689583334,410573.69957090024
"Southridge Video","2018","United States","4.98","5.93",22922.886289999704,370405.2087099998,393328.0949999995
"A. Datum","2018","United States","20.72","5.93",21936.79540000006,340593.2945999998,362530.08999999985
"Contoso","2018","Canada","10.89","5.81",18935.554608334554,340026.22038177715,358961.7749901117
"Fabrikam  ","2018","United States","61.51","6.56",23194.91200000001,327703.68799999997,350898.6
"Contoso","2018","United Kingdom","10.69","5.44",15290.499546241888,291703.1894263868,306993.6889726287
"The Phone Company","2018","United Kingdom","29.27","6.13",18727.26124240004,272349.04310959997,291076.304352
"The Phone Company","2018","Germany","25.72","5.93",14108.965351199848,236224.01764080016,250332.982992
"Proseware","2018","Canada","32.58","5.15",13566.688066737232,234010.5180393607,247577.20610609793
"Proseware","2018","Australia","51.26","6.36",11633.993680879968,223431.87282367202,235065.866504552
"The Phone Company","2018","Australia","27.63","5.91",13949.931591840083,221580.47007215986,235530.40166399995
"Fabrikam","2018","Canada","30.57","5.01",10001.874942338822,219954.24333008713,229956.11827242596
"Contoso","2018","Australia","11.61","6.16",13253.360450857203,219608.11169457476,232861.47214543197
"Litware","2018","United States","18.45","5.68",14447.953865999938,216560.079134,231008.03299999994
"Northwind Traders","2018","United States","6.89","5.72",11612.780878000136,201504.45652200002,213117.23740000016
"Contoso","2018","Germany","10.74","5.83",11963.439305912645,196317.43546703938,208280.87477295203
"Adventure Works","2018","Italy","42.85","5.01",11670.699470117717,189819.6580561522,201490.35752626992
"Wide World Importers","2018","Netherlands","35.35","5.50",10621.129551475024,180052.12649567294,190673.25604714797
"Proseware","2018","United Kingdom","43.45","6.09",12789.945093191636,178305.10100036635,191095.046093558
"Proseware","2018","Germany","29.00","5.78",9456.508850232582,157587.19448748947,167043.70333772205
"Fabrikam  ","2018","Canada","61.16","6.83",9792.508730160014,152728.80662884002,162521.31535900003
"Fabrikam","2018","Germany","35.58","5.76",7969.614914171165,143705.21518233084,151674.830096502
"Wide World Importers","2018","Italy","29.91","6.15",10609.537886374164,141924.3844612199,152533.92234759405
"Wide World Importers","2018","France","25.99","5.51",6888.075230311399,141478.4028451506,148366.478075462
"Fabrikam","2018","Australia","36.95","6.30",8635.923042980983,140150.683284793,148786.60632777397
"Fabrikam","2018","United Kingdom","31.19","5.60",9216.085040577484,139043.1232142965,148259.20825487399
"Contoso ","2018","Canada","37.41","6.78",9233.406473380921,136449.18917867306,145682.59565205398
"Adventure Works","2018","Netherlands","58.85","5.77",9846.163087362802,133616.29355035326,143462.45663771607
"Contoso ","2018","United Kingdom","42.47","6.17",8141.331450797938,112788.02547478206,120929.35692558
"Adventure Works","2018","France","46.89","5.85",5147.140094337097,105519.62671709292,110666.76681143002
"Tailspin Toys","2018","United States","2.08","5.83",6293.9855340000795,103676.75706600014,109970.74260000022
"Southridge Video","2018","Canada","6.23","5.96",7173.515590252253,101346.87668949773,108520.39227974998
"Contoso ","2018","Germany","31.12","4.88",5594.105856341863,100703.90233941616,106298.00819575803
"The Phone Company","2018","Italy","27.29","5.73",6907.497156319994,100099.07170768,107006.568864
"Fabrikam  ","2018","United Kingdom","64.34","6.06",5127.375554989994,87448.52386101,92575.899416
"Contoso","2018","Netherlands","9.17","6.01",4983.135476462165,83173.62044326587,88156.75591972804
"Fabrikam  ","2018","Australia","40.94","3.78",2179.3992334400245,82127.21379356,84306.61302700003
"Contoso ","2018","Australia","40.83","6.59",4126.441655775954,78709.87975550606,82836.32141128201
"Southridge Video","2018","United Kingdom","6.52","6.45",5195.575550864072,76695.75288472584,81891.32843558991
"The Phone Company","2018","Netherlands","27.59","5.90",5817.820225919975,74931.19110208,80749.01132799998
"Litware","2018","Germany","19.77","5.33",3301.809498593866,74660.48367611015,77962.29317470401
"Fabrikam","2018","France","68.65","6.87",7700.199014430618,73137.1478821414,80837.34689657202
"Proseware","2018","Italy","41.45","6.41",5546.9091699025885,70199.86739350737,75746.77656340996
"Contoso","2018","France","12.18","5.77",3607.044651975826,69712.72368122016,73319.76833319599
"Fabrikam  ","2018","Germany","70.04","5.73",4102.1321428100055,68534.39708218999,72636.52922499999
"Contoso","2018","Italy","6.82","5.96",3443.998007977003,67784.54932907694,71228.54733705394
"Proseware","2018","Netherlands","29.47","5.09",3217.5683460343134,67584.89421466769,70802.462560702
"Fabrikam  ","2018","Italy","46.89","4.96",2780.0839636699966,64814.59377132999,67594.67773499999
"Litware","2018","United Kingdom","24.19","5.40",4938.18523578094,64115.89713560906,69054.08237139
"A. Datum","2018","United Kingdom","18.46","4.84",3268.724159609992,60687.60597548998,63956.330135099975
"Fabrikam","2018","Italy","33.92","6.37",4153.160190390772,58863.33442953523,63016.494619926
"The Phone Company","2018","France","29.27","5.84",3253.8654583999887,55438.65570960001,58692.521168
"Southridge Video","2018","Australia","6.44","5.10",3605.5956936570146,52941.753983932984,56547.34967759
"A. Datum","2018","Germany","23.21","6.73",3235.2601738080048,50646.35201059199,53881.61218439999
"Southridge Video","2018","Germany","5.43","6.15",3001.9375787921017,49459.71892085789,52461.656499649995
"Proseware","2018","France","39.33","5.68",3751.2027183768587,47327.428243513124,51078.63096188998
"Litware","2018","Canada","9.93","4.45",1708.7012861175608,43738.31868261442,45447.019968731984
"A. Datum","2018","Canada","19.54","6.15",2690.897501369989,42283.95076893001,44974.8482703
"A. Datum","2018","Australia","12.38","4.06",1842.8106904089946,40733.031860391,42575.84255079999
"Litware ","2018","United States","39.34","6.65",2818.836000000003,37217.844,40036.68
"A. Datum","2018","Italy","22.98","5.97",2422.204785780006,37101.12685031999,39523.331636099996
"Contoso ","2018","Netherlands","38.46","6.63",2462.211453859003,35596.136992060994,38058.34844592
"Contoso ","2018","Italy","21.19","4.27",1404.4139505950006,31210.475634353,32614.889584948
"Southridge Video","2018","Italy","6.38","6.42",1596.4645325148122,27799.347965695193,29395.812498210005
"Litware","2018","Australia","28.17","7.35",2255.917443751903,25564.3903624381,27820.30780619
"Northwind Traders","2018","United Kingdom","6.16","5.88",2066.9096604728475,24188.034851499157,26254.944511972004
"Fabrikam","2018","Netherlands","45.92","7.57",1568.987978867659,23734.679196258345,25303.667175126004
"Tailspin Toys","2018","Canada","2.19","7.07",1693.7504322553868,23320.376237710632,25014.12666996602
"Northwind Traders","2018","Canada","4.00","6.28",1531.5614583872484,22938.038692610768,24469.600150998016
"Fabrikam  ","2018","Netherlands","57.03","5.25",1725.731365800002,20246.910624199998,21972.64199
"Tailspin Toys","2018","United Kingdom","1.95","5.76",1040.0612249627884,20115.761276617206,21155.822501579994
"Tailspin Toys","2018","Germany","1.85","5.70",934.3474610662852,17955.465774417728,18889.813235484013
"Litware","2018","Netherlands","34.49","5.77",563.1807543099785,17944.253445922022,18507.434200232
"Southridge Video","2018","Netherlands","4.29","5.60",1024.2342645165045,17470.205723113497,18494.43998763
"Northwind Traders","2018","Australia","8.09","5.74",1236.99006607322,17272.680670874775,18509.670736947995
"A. Datum","2018","France","29.97","7.74",1472.3073818049997,17165.993568294998,18638.300950099998
"Tailspin Toys","2018","Australia","2.90","6.35",1078.1077019522436,14727.162166943755,15805.269868895999
"Southridge Video","2018","France","6.29","6.42",851.5013498972967,14467.4622313227,15318.963581219996
"Litware ","2018","Canada","37.25","8.33",780.2788705920011,14301.727098407999,15082.005969
"Litware ","2018","Australia","51.84","10.20",1483.1201646900026,13893.794135009999,15376.914299700002
"Fabrikam  ","2018","France","97.64","9.25",1802.1859283999984,13694.6135716,15496.7995
"Litware","2018","Italy","13.07","4.44",929.5468334473171,12897.420330922685,13826.967164370002
"Northwind Traders","2018","Germany","4.19","5.83",726.7737626037942,12426.907691886205,13153.681454489999
"Litware","2018","France","5.55","4.56",133.62094496374084,11033.77469976626,11167.39564473
"Contoso ","2018","France","40.10","6.25",905.8552356990022,10843.983808400999,11749.839044100001
"A. Datum","2018","Netherlands","20.74","5.56",729.5159617199988,10651.042630280002,11380.558592000001
"Tailspin Toys","2018","Netherlands","3.00","5.90",867.2525507708997,9246.443683013102,10113.696233784001
"Tailspin Toys","2018","France","2.77","6.88",461.7561844196989,5586.654739830301,6048.41092425
"Tailspin Toys","2018","Italy","1.71","5.64",373.8673578914977,5474.252681626502,5848.120039517999
"Northwind Traders","2018","Netherlands","5.66","6.67",422.7921186179201,5360.4582663400815,5783.250384958002
"Northwind Traders","2018","Italy","2.53","5.62",250.28765344447947,4987.196245731519,5237.483899175999
"Litware ","2018","Netherlands","10.76","4.00",37.1943561600001,3653.49529584,3690.689652
"Litware ","2018","Germany","37.21","6.00",458.0810161200002,3577.68656388,4035.76758
"Northwind Traders","2018","France","3.08","6.00",256.10208004583956,3308.7538271681606,3564.855907214
"Litware ","2018","United Kingdom","14.78","5.75",172.72085166000033,3158.4434693400003,3331.1643210000007
"Adventure Works ","2018","United States","13.39","8.75",223.3668600000001,1918.5071400000002,2141.8740000000003
"Litware ","2018","France","57.32","11.00",202.9782466800002,1642.27854132,1845.2567880000001
"Adventure Works ","2018","United Kingdom","7.65","5.00",40.34219678999989,1466.4508631100002,1506.7930599000001
"Adventure Works ","2018","Germany","9.18","6.00",107.20122207480017,920.1807701352,1027.3819922100001
"Litware ","2018","Italy","63.26","11.00",51.43562127000001,416.16093573,467.596557
"Adventure Works ","2018","Australia","19.89","13.00",25.383119287499994,169.87164446250003,195.25476375000002
"Adventure Works","2019","United States","54.71","5.81",239740.32560199546,4018383.6295980024,4258123.955199998
"Wide World Importers","2019","United States","38.54","6.07",257202.4168139845,3799599.9901859923,4056802.406999977
"The Phone Company","2019","United States","26.99","5.85",131965.53599999472,2072104.8640000052,2204070.4
"Contoso","2019","United States","11.65","5.96",134862.74733800674,2018578.4560619988,2153441.2034000056
"Proseware","2019","United States","38.87","6.04",91579.4657359994,1489187.4968640008,1580766.9626000002
"Adventure Works","2019","Canada","57.01","5.86",71662.60705573088,1103006.745959199,1174669.35301493
"Fabrikam","2019","United States","39.10","5.92",60256.8512700008,1014299.5431300005,1074556.3944000013
"Wide World Importers","2019","Canada","39.32","5.66",62752.52260929998,941916.7001055579,1004669.2227148579
"Fabrikam  ","2019","United States","60.81","6.16",47842.587000000174,698678.5129999999,746521.1000000001
"Wide World Importers","2019","United Kingdom","38.52","6.29",42985.29121170845,678432.4634413203,721417.7546530288
"Adventure Works","2019","United Kingdom","57.68","6.05",41301.47159396077,672826.0039300082,714127.4755239689
"Adventure Works","2019","Australia","53.72","5.32",33871.330242875265,615154.1959843105,649025.5262271857
"Wide World Importers","2019","Germany","34.01","5.19",36407.308953038184,581321.7692082123,617729.0781612505
"Adventure Works","2019","Germany","57.65","6.19",35776.431489558076,560353.8797966092,596130.3112861672
"Southridge Video","2019","United States","5.19","5.78",33111.655350000365,510990.4856499998,544102.1410000002
"The Phone Company","2019","Canada","27.84","5.88",30730.846857599798,493049.55328640004,523780.40014399984
"A. Datum","2019","United States","20.22","6.24",30670.430699999502,480590.05929999996,511260.48999999947
"Contoso","2019","Canada","13.14","6.14",30474.7154085621,445802.00250999746,476276.71791855956
"Wide World Importers","2019","Australia","34.74","5.68",26062.30461377767,414058.3448651421,440120.64947891975
"The Phone Company","2019","United Kingdom","28.06","6.00",23142.19415200007,362851.89599199995,385994.090144
"Proseware","2019","Germany","41.36","5.99",16357.94052135601,357564.27140997583,373922.21193133184
"Contoso ","2019","United States","35.79","6.06",23685.738867999637,357401.63513199985,381087.3739999995
"Proseware","2019","Canada","42.74","6.17",23078.04768969916,346780.3874219289,369858.4351116281
"The Phone Company","2019","Germany","27.84","6.20",21317.072836000007,328409.6015319998,349726.67436799983
"The Phone Company","2019","Australia","29.56","6.10",19416.90971344005,313005.47739055986,332422.3871039999
"Contoso","2019","United Kingdom","13.50","6.01",23163.318936597032,306320.0334359551,329483.35237255215
"Proseware","2019","United Kingdom","46.96","5.17",17713.923130161595,270065.2216017585,287779.1447319201
"Contoso","2019","Germany","11.63","6.08",16868.71566550774,246481.96968774436,263350.6853532521
"Proseware","2019","Australia","50.57","6.83",14179.308384295087,245136.42311902106,259315.73150331614
"Fabrikam  ","2019","Canada","66.72","5.84",15492.886242469976,233549.08936853003,249041.975611
"Wide World Importers","2019","Italy","36.83","5.67",15377.635993628646,231359.8091167494,246737.44511037806
"Litware","2019","United States","29.49","6.41",18325.563195999945,211604.75080400004,229930.31399999998
"Fabrikam","2019","Canada","38.16","5.50",14269.207315320848,198977.0393414651,213246.24665678595
"Adventure Works","2019","Netherlands","71.19","6.56",15872.679645991215,193043.8829026387,208916.5625486299
"Contoso","2019","Australia","11.52","5.99",12340.74084254977,192894.00314156213,205234.7439841119
"Fabrikam","2019","United Kingdom","46.27","6.90",12522.186781759752,190536.86129091226,203059.048072672
"Adventure Works","2019","France","50.15","5.43",11275.350681898242,183755.02153010573,195030.37221200397
"Adventure Works","2019","Italy","48.02","5.29",10058.063550322811,181798.8796690471,191856.94321936992
"Wide World Importers","2019","Netherlands","41.01","6.59",14182.022922084812,169696.3653659173,183878.3882880021
"Tailspin Toys","2019","United States","2.10","5.77",9848.40578999967,168241.41081000047,178089.81660000014
"Fabrikam  ","2019","Germany","64.52","6.87",9154.557704369974,165464.90351963002,174619.461224
"Northwind Traders","2019","United States","5.09","5.83",7018.171064000082,151099.17353600013,158117.34460000021
"The Phone Company","2019","Italy","30.80","6.39",11619.379237279965,145889.32644272,157508.70567999996
"Wide World Importers","2019","France","48.85","6.12",10167.892029925017,142119.79075061897,152287.68278054398
"Fabrikam","2019","Germany","42.13","6.24",9289.29327358061,135870.1032897934,145159.396563374
"Fabrikam  ","2019","Australia","55.45","5.74",7601.0062931400025,122044.61204285998,129645.61833599998
"Southridge Video","2019","Canada","5.31","6.15",8057.304900147428,119221.37627115255,127278.68117129998
"Fabrikam","2019","Australia","43.78","6.72",8584.090098219662,117493.87134466633,126077.961442886
"Contoso","2019","Netherlands","14.82","6.24",7670.380936511705,116808.9381752723,124479.319111784
"The Phone Company","2019","Netherlands","27.14","5.54",7525.922970880027,113096.19310911994,120622.11607999996
"Southridge Video","2019","United Kingdom","5.93","5.93",6584.135735543416,105228.69081022657,111812.82654576999
"A. Datum","2019","Canada","21.93","5.95",6305.658683102971,99375.20904049701,105680.86772359998
"Contoso ","2019","Canada","31.55","5.08",3884.1275357474515,97848.52200515656,101732.649540904
"A. Datum","2019","Germany","18.85","5.47",5230.597365604015,93147.30040709594,98377.89777269996
"The Phone Company","2019","France","30.43","6.57",6353.612759040028,86454.77344895997,92808.386208
"Proseware","2019","Italy","34.76","5.54",5234.6649145489355,84966.26499335904,90200.92990790798
"Southridge Video","2019","Germany","5.46","6.46",5131.284041920415,84009.18359513966,89140.46763706008
"Proseware","2019","France","25.62","3.69",2479.719708400007,83662.37160684398,86142.09131524399
"Proseware","2019","Netherlands","40.03","6.00",5392.704528676113,83138.8437495539,88531.54827823001
"Contoso","2019","France","9.84","6.16",4292.7946480564715,81303.31047583756,85596.10512389403
"Fabrikam  ","2019","United Kingdom","66.44","6.38",6820.9730407000025,81019.76166830001,87840.73470900001
"Contoso ","2019","Germany","47.42","7.03",5939.965898553899,80089.9377502641,86029.903648818
"Contoso ","2019","Australia","27.21","5.30",3743.669450147194,77988.28434448678,81731.95379463397
"A. Datum","2019","Australia","20.01","6.20",5809.673471133996,76638.88604556602,82448.55951670001
"A. Datum","2019","United Kingdom","23.70","6.88",5813.5931754030025,73170.51706079699,78984.1102362
"Fabrikam  ","2019","Italy","63.70","5.76",6111.281755410004,72395.32331759,78506.605073
"Southridge Video","2019","Australia","4.85","5.24",3941.961396871906,71852.51144236805,75794.47283923996
"Litware ","2019","United States","25.42","4.52",3679.308000000019,71796.67199999999,75475.98000000001
"Fabrikam","2019","Italy","55.07","5.95",4495.726070259043,68492.50153514896,72988.227605408
"Contoso ","2019","United Kingdom","31.94","5.08",5177.161423888538,66451.06812314347,71628.22954703201
"Fabrikam","2019","France","39.78","5.03",4192.961834507601,64719.88160022242,68912.84343473002
"Contoso","2019","Italy","8.40","6.29",3863.937638894662,61148.958738081325,65012.89637697599
"Litware","2019","Germany","37.70","7.07",5128.954916329174,60429.31145767682,65558.266374006
"Fabrikam","2019","Netherlands","33.72","5.68",2038.4884943775978,52645.81008205839,54684.29857643599
"Tailspin Toys","2019","Canada","2.33","5.82",2895.8327489512885,42837.942441726686,45733.775190677974
"Litware","2019","Canada","24.81","5.26",2569.8923404596208,40150.81261779637,42720.70495825599
"Litware","2019","United Kingdom","20.53","5.16",2135.406317740497,37245.5103860055,39380.916703746
"Fabrikam  ","2019","France","66.91","6.07",1871.3626944999996,35267.7590395,37139.121734
"Litware","2019","Australia","8.00","5.65",803.875691963025,34007.52985053297,34811.405542495995
"Northwind Traders","2019","Germany","7.49","4.86",1725.8663664937922,33988.84985366221,35714.716220156
"Northwind Traders","2019","United Kingdom","10.60","5.27",3062.54794467023,33196.68718333777,36259.235128008004
"Northwind Traders","2019","Australia","4.08","5.15",1155.3701172033652,30043.539199070634,31198.909316274
"Southridge Video","2019","Italy","6.69","6.55",1643.9182423808015,29834.5517791592,31478.47002154
"Tailspin Toys","2019","United Kingdom","2.18","5.88",1799.7361607195962,27970.996244720387,29770.732405439983
"Tailspin Toys","2019","Germany","1.80","5.88",1424.6278815960031,25197.843742866004,26622.471624462007
"A. Datum","2019","Netherlands","17.53","5.58",1414.842964080006,23712.46742072,25127.310384800006
"Fabrikam  ","2019","Netherlands","49.41","6.25",1423.4133471999958,23188.624102800004,24612.03745
"Tailspin Toys","2019","Australia","2.02","5.81",1394.1592863903097,22405.8962954457,23800.055581836008
"Contoso ","2019","Italy","26.87","4.31",1457.8439878710815,22114.61299221292,23572.456980084
"Contoso ","2019","France","20.37","4.33",780.6021025979207,22101.994080550077,22882.596183147998
"A. Datum","2019","Italy","16.79","6.35",1650.2743290410035,21123.578757359,22773.853086400002
"Northwind Traders","2019","Canada","4.12","6.07",1243.1032228565746,21056.22830025342,22299.331523109995
"Southridge Video","2019","France","5.76","5.66",1255.4349148978035,20873.80157901219,22129.236493909993
"A. Datum","2019","France","18.91","6.71",1312.262721860996,19476.176590039002,20788.439311899998
"Southridge Video","2019","Netherlands","4.93","5.77",1312.8138286759022,18301.692727274098,19614.50655595
"Contoso ","2019","Netherlands","40.38","6.59",1322.8840823971186,17156.855592568878,18479.739674965997
"Tailspin Toys","2019","Netherlands","1.76","5.43",476.6382410192964,16779.1562361207,17255.794477139996
"Litware ","2019","United Kingdom","62.96","6.60",1052.8016800500027,10340.913064949998,11393.714745000001
"Litware","2019","Italy","27.25","5.54",928.8222653613793,9978.38737304462,10907.209638405999
"Litware ","2019","Australia","27.01","6.75",368.47218335399884,9189.282910446002,9557.7550938
"Tailspin Toys","2019","Italy","1.68","5.64",467.036406251098,8852.9510319489,9319.987438199998
"Litware ","2019","Germany","27.69","5.17",743.0702820300012,8770.03758837,9513.107870400001
"Northwind Traders","2019","Netherlands","3.32","6.40",479.34172251515974,7951.7143131088405,8431.056035624
"Northwind Traders","2019","Italy","2.18","5.06",232.03414797726145,7119.3027887587405,7351.336936736002
"Northwind Traders","2019","France","9.78","7.93",654.7726352077598,6557.14041648624,7211.9130516939995
"Litware","2019","France","11.13","6.39",395.15973252141885,5848.39620398858,6243.555936509999
"Tailspin Toys","2019","France","1.84","5.36",314.22068002817923,5168.247219305821,5482.467899334
"Adventure Works ","2019","United States","13.00","8.50",380.9475900000007,4667.75541,5048.703
"Litware","2019","Netherlands","4.10","4.00",78.87697729531965,3078.10923145268,3156.9862087479996
"Litware ","2019","Canada","15.92","5.00",63.41120418599985,2758.846845114,2822.2580493
"Litware ","2019","Italy","26.96","5.00",95.71289219999971,2281.5995058000003,2377.312398
"Litware ","2019","Netherlands","0.00","0.00",0,1694.955708,1694.955708
"Adventure Works ","2019","Canada","13.77","9.00",55.350491497200096,559.6549695828,615.0054610800001
"Adventure Works ","2019","Germany","12.24","8.00",21.54431501280004,247.7596226472,269.30393766000003
"Adventure Works ","2019","United Kingdom","13.77","9.00",10.572810233400006,106.9028590266,117.47566926
"Adventure Works","2020","United States","47.95","6.05",92157.06483000051,1413351.5231699992,1505508.5879999998
"Wide World Importers","2020","United States","33.85","6.06",81836.95218000142,1159027.14382,1240864.0960000015
"The Phone Company","2020","United States","24.63","6.07",58331.283999998705,891816.916,950148.1999999987
"Contoso","2020","United States","9.85","5.78",40997.28779199906,655307.042607999,696304.3303999981
"Proseware","2020","United States","37.23","6.16",36518.320170000254,488127.9328299998,524646.253
"Adventure Works","2020","Canada","53.02","6.15",21222.624384417024,352009.49834460294,373232.12272901996
"Wide World Importers","2020","Canada","28.47","5.89",21270.26753842592,317970.72436873417,339240.9919071601
"Fabrikam","2020","United States","30.36","5.59",15322.852155999688,307899.45524400024,323222.30739999993
"Fabrikam  ","2020","United States","56.64","5.68",20025.56599999999,272676.33400000003,292701.9
"Southridge Video","2020","United States","6.60","5.98",17306.02132,263593.8216799996,280899.8429999996
"Adventure Works","2020","Germany","45.62","5.39",12957.912206670619,226538.40259859947,239496.31480527009
"Wide World Importers","2020","Germany","31.34","6.12",12392.540242395946,204099.28837876403,216491.82862115998
"Adventure Works","2020","United Kingdom","47.26","5.45",11243.399220839958,203033.67846537495,214277.0776862149
"The Phone Company","2020","Canada","23.07","5.71",13533.287015640119,197993.10459235983,211526.39160799995
"The Phone Company","2020","Germany","24.62","6.12",12092.960573539953,193841.39295446003,205934.35352799998
"A. Datum","2020","United States","19.12","6.25",11828.771300000139,193153.2686999999,204982.04000000004
"Wide World Importers","2020","United Kingdom","34.01","6.45",13197.147600923723,178783.68633282627,191980.83393375
"Adventure Works","2020","Australia","49.51","5.73",9977.565792206646,174329.04319537335,184306.60898758
"Fabrikam","2020","Canada","39.81","5.39",7247.013668246014,148243.437539174,155490.45120742
"The Phone Company","2020","Australia","23.00","5.86",9106.923166739929,140204.57409125997,149311.4972579999
"Contoso ","2020","United States","38.24","5.79",9831.758040000044,137840.08295999997,147671.84100000001
"Contoso","2020","Germany","10.77","6.03",10092.297315669246,137245.25758663082,147337.55490230006
"Wide World Importers","2020","Australia","28.38","6.82",9841.541521211475,132065.9756146686,141907.51713588007
